InterVA4;InterVA variable;Question;Question;Threshold;Note
1010;elder;Was (s)he aged 65 years or over at death?;;ageInYears > 65 || age_adult > 65;
1020;midage;Was (s)he aged 50 to 64 years at death?;;(ageInYears >=50 && ageInYears <= 64) || (age_group ==  'adult' && age_adult >= 50 && age_adult <= 64);
1030;adult;Was (s)he aged 15-49 years at death?;;(ageInYears >=15 && ageInYears <= 49) || (age_group ==  'adult' && age_adult >= 15 && age_adult <= 49);
1040;child;Was (s)he aged 5 to 14 years at death?;;(ageInYears >= 5 && ageInYears <=14) || (age_group ==  'child' && age_child_unit == 'days' && age_child_days >= 5*365.25 && age_child_days <= 11*365.25) || (age_group ==  'child' && age_child_unit == 'months' && age_child_months >= 5*12 && age_child_months <= 11*12) || (age_group ==  'child' && age_child_unit == 'years' && age_child_years >= 5 && age_child_years <= 11) || (age_group ==  'adult' && age_adult > 11 && age_adult <= 14);
1050;under5;Was (s)he aged 1 to 4 years at death?;;(ageInYears >= 1 && ageInYears <=4) || (age_group ==  'child' && age_child_unit == 'days' && age_child_days >= 1*365.25 && age_child_days <= 4*365.25) || (age_group ==  'child' && age_child_unit == 'months' && age_child_months >= 1*12 && age_child_months <= 4*12) || (age_group ==  'child' && age_child_unit == 'years' && age_child_years >= 1 && age_child_years <= 4);
1060;infant;Was (s)he aged 1 to 11 months at death?;;(ageInDays >= 30.4 && ageInDays <= 12*30.4) || (age_group ==  'child' && age_child_unit == 'days' && age_child_days >= 30.4 && age_child_days <= 12*30.4) || (age_group ==  'child' && age_child_unit == 'months' && age_child_months >= 1 && age_child_months <= 12) || (age_group ==  'child' && age_child_unit == 'years' && age_child_years == 1);
1070;neonate;Was (s)he aged 28 days or less at death?;;((ageInDays >= 0 && ageInDays <= 28)) || (age_group ==  'neonate' && age_neonate_days <= 28);
1080;male;Was the deceased male?;What was the sex of the deceased?;id1A110 == 'male';
1090;female;Was the deceased female?;What was the sex of the deceased?;id1A110 == 'female';
1100;magegp1;Was this a woman aged 12 to 19 years at death?;What was the sex of the deceased?;id1A110 == 'female' && ((ageInYears >=12 && ageInYears <= 19) || (age_group ==  'adult' && age_adult >= 12 && age_adult <= 19));
1110;magegp2;Was this a woman aged 20-34 years at death?;What was the sex of the deceased?;id1A110 == 'female' && ((ageInYears >=20 && ageInYears <= 34) || (age_group ==  'adult' && age_adult >= 20 && age_adult <= 34));
1120;magegp3;Was this a woman aged 35-49 years at death?;What was the sex of the deceased?;id1A110 == 'female' && ((ageInYears >=35 && ageInYears <= 49) || (age_group ==  'adult' && age_adult >= 35 && age_adult <= 49));
1130;died_d1;Did the baby die within 24 hours of birth?;;(ageInDays <= 1 && ageInDays >= 0) || (age_group == 'neonate' && (age_neonate_days <= 1 || age_neonate_days <= 1 || age_neonate_minutes <= 24*60));
1140;died_d23;Did the baby die more than 24 hours after birth but within 48 hours from birth?;;(ageInDays > 0 && ageInDays < 2) || (age_group  == 'neonate' && ((age_neonate_days > 0 && age_neonate_days < 2) || (age_neonate_hours > 24 && age_neonate_hours < 48) || (age_neonate_minutes > 24*60 && age_neonate_minutes < 2*24*60)) );
1150;died_d36;Did baby die more than 48 hours from birth but within the first week of life?;;(ageInDays > 1 && ageInDays <= 7) || (age_group == 'neonate' && ( (age_neonate_days > 2 && age_neonate_days <= 7) || (age_neonate_hours > 48 && age_neonate_hours < 7*24) || (age_neonate_minutes > 2*24*60 && age_neonate_minutes < 7*24*60)));
1160;died_w1;Did baby die after first week, but within first 28 days?;;(ageInDays > 7 && ageInDays <= 28) || (age_group == 'neonate' && ( (age_neonate_days > 7 && age_neonate_days <= 28) || (age_neonate_hours > 7*24 && age_neonate_hours < 28*24) || (age_neonate_minutes > 7*24*60 && age_neonate_minutes < 28*24*60) ));
1170;acute;Was (s)he ill for less than 3 weeks before death?;For how many days was (s)he ill before (s)he died?;id3A300 >= 0 && id3A300 < 7*3;Unit in days
1180;chronic;Was (s)he ill for 3 weeks or more before death?;For how many days was (s)he ill before (s)he died?;id3A300 >= 7*3;Unit in days
1190;sudden;Did (s)he die suddenly?;Did (s)he die suddenly?;id3A310 == 'yes';
1200;wet_seas;Did (s)he die during the wet season?;During which season did (s)he die?;id3A280 == 'wet';
1210;dry_seas;Did (s)he die during the dry season?;During which season did (s)he die?;id3A280 == 'dry';
1220;heart_dis;Was there any diagnosis of Heart disease;Was there any diagnosis by a physician or health worker of heart disease?;id3A160 == 'yes';
1230;tuber;Was there any diagnosis of Tuberculosis;Was there any diagnosis by a physician or health worker of tuberculosis?;id3A100 == 'yes';
1240;hiv_aids;Was there any diagnosis of HIV/AIDS;Was there any diagnosis by a physician or health worker of HIV/AIDS?;id3A110 == 'yes';
1250;hypert;Was there any diagnosis of High Blood pressure;Was there any diagnosis by a physician or health worker of high blood pressure?;id3A150 == 'yes';
1260;diabetes;Was there any diagnosis of Diabetes;Was there any diagnosis by a physician or health worker of diabetes?;id3A170 == 'yes';
1270;asthma;Was there any diagnosis of Asthma;Was there any diagnosis by a physician or health worker of asthma?;id3A180 == 'yes';
1280;epilepsy;Was there any diagnosis of Epilepsy;Was there any diagnosis by a physician or health worker of epilepsy?;id3A190 == 'yes';
1290;cancer;Was there any diagnosis of Cancer;Was there any diagnosis by a physician or health worker of cancer?;id3A200 == 'yes';
1300;copd;Was there any diagnosis of Chronic Obstructive Pumonary Disease (COPD);Was there any diagnosis by a physician or health worker of Chronic Obstructive Pulmonary Disease (COPD)?;id3A210 == 'yes';
1310;dement;Was there any diagnosis of Dementia;Was there any diagnosis by a physician or health worker of dementia?;id3A220 == 'yes';
1320;depress;Was there any diagnosis of Depression;Was there any diagnosis by a physician or health worker of depression?;id3A230 == 'yes';
1330;stroke; Was there any diagnosis of Stroke;Was there any diagnosis by a physician or health worker of stroke?;id3A240 == 'yes';
1340;sickle;Was there any diagnosis of Sickle cell disease;Was there any diagnosis by a physician or health worker of sickle cell disease?;id3A250 == 'yes';
1350;kidney_dis;Was there any diagnosis of Kidney disease;Was there any diagnosis by a physician or health worker of kidney disease?;id3A260 == 'yes';
1360;liver_dis;Was there any diagnosis of Liver disease;Was there any diagnosis by a physician or health worker of liver disease?;id3A270 == 'yes';
1370;measles;Was there any diagnosis of Measles;Was there any diagnosis by a physician or health worker of measles?;id3A140 == 'yes';
1380;men_con;Did (s)he have mental confusion?;Did (s)he have mental confusion?;id3B420 == 'yes';
1390;mencon3;Did (s)he have mental confusion for 3 months or more?;For how many months did (s)he have mental confusion?;id3B420 == 'yes' && id3B430 >= 3*30;
1400;malaria;Did (s)he have a recent positive test for malaria?;Did (s)he have a recent positive test by a physician or health worker for malaria?;id3A120 == 'yes';This reflects a positive test for malaria within a week of death.
1410;malarneg;Did (s)he have a recent negative test for malaria?;Did (s)he have a recent negative test by a physician or health worker for malaria?;id3A130 == 'yes';This reflects a negative test for malaria within a week of death.
2000;fever;Did (s)he have a fever?;Did (s)he have a fever?;id3B100 == 'yes';Select this if there were any signs of fever during the final illness
2010;ac_fever;Did (s)he have fever for less than 2 weeks before death?;How many days did the fever last?;id3B100 == 'yes' && id3B110 < 14;
2020;ch_fever;Did (s)he have fever for 2 weeks or more before death?;How many days did the fever last?;id3B100 == 'yes' && id3B110 >= 14;
2030;night_sw;Did (s)he have night sweats?;Did (s)he have night sweats?;id3B120 == 'yes';
2040;cough;Did (s)he have a cough?;Did (s)he have a cough?;id3B130 == 'yes';
2050;ac_cough;Did (s)he have a cough for less than 3 weeks before death?;For how many days did (s)he have a cough?;id3B130 == 'yes' && id3B140 < 21;
2060;ch_cough;Did (s)he have a cough for 3 weeks or more before death?;For how many days did (s)he have a cough?;id3B130 == 'yes' && id3B140 >= 21;
2070;pr_cough;Was the cough productive with sputum?;Was the cough productive, with sputum?;id3B150 == 'yes';
2080;bl_cough;Did (s)he cough up blood?;Did (s)he cough up blood?;id3B160 == 'yes';
2090;whoop;Did (s)he make a whooping sound when coughing?;Did (s)he make a whooping sound when coughing?;id3B170 == 'yes';
2100;breath;Did (s)he have any breathing problem?;Did (s)he have any breathing problem?;id3B180 == 'yes';
2110;rapid_br;Did (s)he have fast breathing?;During the illness that led to death, did (s)he have fast breathing?;id3B190 == 'yes';"If the ""any breathing problem"" indicator is selected, select this one if the deceased was an infant or child who was breathing much faster than normal."
2120;ac_rpbr;Did (s)he have fast breathing for less than 2 weeks?;For how many days did the fast breathing last?;id3B190 == 'yes' && id3B200 < 14;
2130;ch_rpbr;Did (s)he have fast breathing for 2 weeks or more?;For how many days did the fast breathing last?;id3B190 == 'yes'&& id3B200 >= 14;
2140;br_less;Did (s)he have breathlessness?;Did (s)he have breathlessness?;id3B210 == 'yes';
2150;ac_brl;Did (s)he have breathlessness for less than 2 weeks?;For how many weeks did (s)he have breathlessness?;id3B210 == 'yes' && id3B220 < 2;
2160;ch_brl;Did (s)he have breathlessness for 2 weeks or more?;For how many weeks did (s)he have breathlessness?;id3B210 == 'yes' &&id3B220 >= 2;
2170;exert_br;Was (s)he unable to carry out daily routines due to breathlessness?;Was (s)he unable to carry out daily routines due to breathlessness?;id3B180 == 'yes' && id3B230 == 'yes';
